asset_id,hostname,environment,application,service_owner,business_unit,status,region,os_type,lifecycle_state
ASSET-000062,warehouse-management-dev-0062.internal,dev,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,deprecated
ASSET-000063,notification-service-dev-0063.internal,dev,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,active
ASSET-000064,api-gateway-dev-0064.internal,dev,api-gateway,SRE Team,Platform,active,us-west,linux,active
ASSET-000065,auth-service-prod-0065.internal,prod,auth-service,Security Team,Platform,active,eu-west,linux,active
ASSET-000066,customer-portal-qa-0066.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-east,linux,active
ASSET-000067,reporting-dashboard-staging-0067.internal,staging,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-000068,notification-service-qa-0068.internal,qa,notification-service,Platform Engineering,Platform,active,us-east,linux,active
ASSET-000069,inventory-service-dev-0069.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000070,billing-engine-qa-0070.internal,qa,billing-engine,Payments Team,Finance,active,ap-southeast,linux,provisioning
ASSET-000071,warehouse-management-dev-0071.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-east,linux,active
ASSET-000072,payment-gateway-dev-0072.internal,dev,payment-gateway,Payments Team,Finance,active,us-east,macos,active
ASSET-000073,auth-service-qa-0073.internal,qa,auth-service,Security Team,Platform,active,eu-west,linux,deprecated
ASSET-000074,inventory-service-qa-0074.internal,qa,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000075,recommendation-engine-prod-0075.internal,prod,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-000076,billing-engine-dev-0076.internal,dev,billing-engine,Payments Team,Finance,maintenance,us-east,macos,active
ASSET-000077,customer-portal-qa-0077.internal,qa,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,provisioning
ASSET-000078,shipping-tracker-dev-0078.internal,dev,shipping-tracker,Logistics Team,Logistics,maintenance,us-west,linux,active
ASSET-000079,analytics-pipeline-dev-0079.internal,dev,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-000080,recommendation-engine-staging-0080.internal,staging,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,active
ASSET-000081,api-gateway-dev-0081.internal,dev,api-gateway,SRE Team,Platform,active,ap-southeast,windows,active
ASSET-000082,auth-service-qa-0082.internal,qa,auth-service,Security Team,Platform,active,us-west,linux,active
ASSET-000083,payment-gateway-qa-0083.internal,qa,payment-gateway,Payments Team,Finance,active,us-west,linux,active
ASSET-000084,fraud-detection-dev-0084.internal,dev,fraud-detection,Security Team,Finance,active,ap-southeast,linux,active
ASSET-000085,search-service-prod-0085.internal,prod,search-service,Platform Engineering,Retail,active,us-east,macos,active
ASSET-000086,recommendation-engine-qa-0086.internal,qa,recommendation-engine,Data Engineering,Retail,active,us-east,linux,active
ASSET-000087,inventory-service-prod-0087.internal,prod,inventory-service,Logistics Team,Logistics,active,us-east,macos,retired
ASSET-000088,customer-portal-qa-0088.internal,qa,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-000089,warehouse-management-prod-0089.internal,prod,warehouse-management,Logistics Team,Logistics,active,us-east,linux,active
ASSET-000090,fraud-detection-dev-0090.internal,dev,fraud-detection,Security Team,Finance,active,eu-west,linux,active
ASSET-000091,auth-service-qa-0091.internal,qa,auth-service,Security Team,Platform,active,us-east,windows,active
ASSET-000092,fraud-detection-prod-0092.internal,prod,fraud-detection,Security Team,Finance,active,ap-southeast,windows,active
ASSET-000093,fraud-detection-dev-0093.internal,dev,fraud-detection,Security Team,Finance,active,us-west,linux,deprecated
ASSET-000094,notification-service-qa-0094.internal,qa,notification-service,Platform Engineering,Platform,active,us-east,linux,active
ASSET-000095,reporting-dashboard-prod-0095.internal,prod,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,deprecated
ASSET-000096,customer-portal-qa-0096.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-west,linux,active
ASSET-000097,shipping-tracker-staging-0097.internal,staging,shipping-tracker,Logistics Team,Logistics,active,us-west,windows,active
ASSET-000098,recommendation-engine-staging-0098.internal,staging,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-000099,search-service-prod-0099.internal,prod,search-service,Platform Engineering,Retail,active,ap-southeast,linux,active
ASSET-000100,payment-gateway-prod-0100.internal,prod,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-000101,fraud-detection-qa-0101.internal,qa,fraud-detection,Security Team,Finance,active,us-west,linux,active
ASSET-000102,payment-gateway-dev-0102.internal,dev,payment-gateway,Payments Team,Finance,active,ap-southeast,macos,active
ASSET-000103,fraud-detection-dev-0103.internal,dev,fraud-detection,Security Team,Finance,active,us-east,linux,provisioning
ASSET-000104,order-service-staging-0104.internal,staging,order-service,Platform Engineering,Retail,maintenance,ap-southeast,windows,active
ASSET-000105,warehouse-management-prod-0105.internal,prod,warehouse-management,Logistics Team,Logistics,maintenance,ap-southeast,linux,provisioning
ASSET-000106,warehouse-management-qa-0106.internal,qa,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000107,warehouse-management-dev-0107.internal,dev,warehouse-management,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000108,search-service-dev-0108.internal,dev,search-service,Platform Engineering,Retail,maintenance,eu-west,linux,deprecated
ASSET-000109,billing-engine-qa-0109.internal,qa,billing-engine,Payments Team,Finance,active,us-east,linux,active
ASSET-000110,recommendation-engine-prod-0110.internal,prod,recommendation-engine,Data Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-000111,customer-portal-dev-0111.internal,dev,customer-portal,Customer Experience Team,Retail,active,eu-west,windows,active
ASSET-000112,warehouse-management-staging-0112.internal,staging,warehouse-management,Logistics Team,Logistics,decommissioned,ap-southeast,linux,active
ASSET-000113,analytics-pipeline-prod-0113.internal,prod,analytics-pipeline,Data Engineering,Platform,active,us-east,linux,active
ASSET-000114,auth-service-prod-0114.internal,prod,auth-service,Security Team,Platform,active,ap-southeast,linux,active
ASSET-000115,billing-engine-dev-0115.internal,dev,billing-engine,Payments Team,Finance,active,us-west,linux,active
ASSET-000116,analytics-pipeline-prod-0116.internal,prod,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,linux,deprecated
ASSET-000117,order-service-staging-0117.internal,staging,order-service,Platform Engineering,Retail,active,ap-southeast,linux,active
ASSET-000118,payment-gateway-prod-0118.internal,prod,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-000119,shipping-tracker-dev-0119.internal,dev,shipping-tracker,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000120,inventory-service-qa-0120.internal,qa,inventory-service,Logistics Team,Logistics,maintenance,us-east,linux,active
ASSET-000121,auth-service-staging-0121.internal,staging,auth-service,Security Team,Platform,decommissioned,us-west,windows,active
ASSET-000122,recommendation-engine-dev-0122.internal,dev,recommendation-engine,Data Engineering,Retail,maintenance,us-west,linux,provisioning
ASSET-000123,search-service-qa-0123.internal,qa,search-service,Platform Engineering,Retail,decommissioned,eu-west,macos,active
ASSET-000124,billing-engine-qa-0124.internal,qa,billing-engine,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-000125,fraud-detection-qa-0125.internal,qa,fraud-detection,Security Team,Finance,maintenance,eu-west,windows,active
ASSET-000126,analytics-pipeline-dev-0126.internal,dev,analytics-pipeline,Data Engineering,Platform,active,eu-west,windows,active
ASSET-000127,inventory-service-qa-0127.internal,qa,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000128,warehouse-management-dev-0128.internal,dev,warehouse-management,Logistics Team,Logistics,maintenance,us-east,linux,deprecated
ASSET-000129,analytics-pipeline-prod-0129.internal,prod,analytics-pipeline,Data Engineering,Platform,active,eu-west,linux,active
ASSET-000130,search-service-prod-0130.internal,prod,search-service,Platform Engineering,Retail,active,eu-west,linux,active
ASSET-000131,analytics-pipeline-dev-0131.internal,dev,analytics-pipeline,Data Engineering,Platform,active,us-east,linux,active
ASSET-000132,analytics-pipeline-dev-0132.internal,dev,analytics-pipeline,Data Engineering,Platform,active,eu-west,linux,deprecated
ASSET-000133,inventory-service-dev-0133.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,windows,active
ASSET-000134,analytics-pipeline-qa-0134.internal,qa,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,linux,active
ASSET-000135,warehouse-management-prod-0135.internal,prod,warehouse-management,Logistics Team,Logistics,active,ap-southeast,windows,active
ASSET-000136,customer-portal-qa-0136.internal,qa,customer-portal,Customer Experience Team,Retail,active,ap-southeast,linux,active
ASSET-000137,search-service-dev-0137.internal,dev,search-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-000138,order-service-dev-0138.internal,dev,order-service,Platform Engineering,Retail,active,us-east,linux,active
ASSET-000139,notification-service-dev-0139.internal,dev,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,provisioning
ASSET-000140,auth-service-prod-0140.internal,prod,auth-service,Security Team,Platform,active,us-west,linux,active
ASSET-000141,api-gateway-staging-0141.internal,staging,api-gateway,SRE Team,Platform,active,eu-west,linux,deprecated
ASSET-000142,shipping-tracker-qa-0142.internal,qa,shipping-tracker,Logistics Team,Logistics,maintenance,us-east,linux,active
ASSET-000143,customer-portal-dev-0143.internal,dev,customer-portal,Customer Experience Team,Retail,active,ap-southeast,linux,active
ASSET-000144,auth-service-prod-0144.internal,prod,auth-service,Security Team,Platform,decommissioned,ap-southeast,windows,active
ASSET-000145,api-gateway-dev-0145.internal,dev,api-gateway,SRE Team,Platform,active,ap-southeast,linux,provisioning
ASSET-000146,fraud-detection-prod-0146.internal,prod,fraud-detection,Security Team,Finance,maintenance,us-east,windows,active
ASSET-000147,order-service-prod-0147.internal,prod,order-service,Platform Engineering,Retail,active,ap-southeast,linux,active
ASSET-000148,shipping-tracker-qa-0148.internal,qa,shipping-tracker,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000149,fraud-detection-prod-0149.internal,prod,fraud-detection,Security Team,Finance,active,us-east,linux,active
ASSET-000150,order-service-dev-0150.internal,dev,order-service,Platform Engineering,Retail,active,eu-west,windows,active
ASSET-000151,fraud-detection-staging-0151.internal,staging,fraud-detection,Security Team,Finance,active,us-west,linux,provisioning
ASSET-000152,customer-portal-dev-0152.internal,dev,customer-portal,Customer Experience Team,Retail,active,eu-west,linux,active
ASSET-000153,reporting-dashboard-qa-0153.internal,qa,reporting-dashboard,Data Engineering,Platform,active,us-east,windows,active
ASSET-000154,customer-portal-dev-0154.internal,dev,customer-portal,Customer Experience Team,Retail,active,eu-west,windows,active
ASSET-000155,auth-service-dev-0155.internal,dev,auth-service,Security Team,Platform,active,eu-west,windows,active
ASSET-000156,search-service-dev-0156.internal,dev,search-service,Platform Engineering,Retail,active,eu-west,windows,active
ASSET-000157,inventory-service-dev-0157.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000158,analytics-pipeline-qa-0158.internal,qa,analytics-pipeline,Data Engineering,Platform,active,eu-west,windows,provisioning
ASSET-000159,billing-engine-qa-0159.internal,qa,billing-engine,Payments Team,Finance,active,eu-west,linux,active
ASSET-000160,warehouse-management-dev-0160.internal,dev,warehouse-management,Logistics Team,Logistics,maintenance,us-east,windows,active
ASSET-000161,api-gateway-prod-0161.internal,prod,api-gateway,SRE Team,Platform,active,ap-southeast,linux,deprecated
ASSET-000162,search-service-prod-0162.internal,prod,search-service,Platform Engineering,Retail,maintenance,us-west,linux,retired
ASSET-000163,auth-service-dev-0163.internal,dev,auth-service,Security Team,Platform,active,eu-west,linux,active
ASSET-000164,auth-service-qa-0164.internal,qa,auth-service,Security Team,Platform,active,eu-west,windows,active
ASSET-000165,auth-service-staging-0165.internal,staging,auth-service,Security Team,Platform,active,ap-southeast,linux,active
ASSET-000166,fraud-detection-staging-0166.internal,staging,fraud-detection,Security Team,Finance,active,us-west,windows,active
ASSET-000167,customer-portal-qa-0167.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-west,linux,active
ASSET-000168,payment-gateway-staging-0168.internal,staging,payment-gateway,Payments Team,Finance,active,ap-southeast,linux,active
ASSET-000169,notification-service-dev-0169.internal,dev,notification-service,Platform Engineering,Platform,active,eu-west,linux,retired
ASSET-000170,order-service-dev-0170.internal,dev,order-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-000171,inventory-service-staging-0171.internal,staging,inventory-service,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000172,inventory-service-staging-0172.internal,staging,inventory-service,Logistics Team,Logistics,maintenance,ap-southeast,macos,provisioning
ASSET-000173,warehouse-management-prod-0173.internal,prod,warehouse-management,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000174,recommendation-engine-dev-0174.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-east,linux,active
ASSET-000175,recommendation-engine-dev-0175.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-west,linux,active
ASSET-000176,auth-service-dev-0176.internal,dev,auth-service,Security Team,Platform,active,ap-southeast,windows,active
ASSET-000177,recommendation-engine-dev-0177.internal,dev,recommendation-engine,Data Engineering,Retail,active,us-east,linux,active
ASSET-000178,payment-gateway-dev-0178.internal,dev,payment-gateway,Payments Team,Finance,active,us-east,windows,active
ASSET-000179,reporting-dashboard-qa-0179.internal,qa,reporting-dashboard,Data Engineering,Platform,active,us-east,linux,active
ASSET-000180,billing-engine-qa-0180.internal,qa,billing-engine,Payments Team,Finance,active,eu-west,windows,active
ASSET-000181,api-gateway-staging-0181.internal,staging,api-gateway,SRE Team,Platform,active,us-west,linux,active
ASSET-000182,payment-gateway-qa-0182.internal,qa,payment-gateway,Payments Team,Finance,active,us-west,windows,active
ASSET-000183,billing-engine-dev-0183.internal,dev,billing-engine,Payments Team,Finance,active,us-east,windows,deprecated
ASSET-000184,recommendation-engine-staging-0184.internal,staging,recommendation-engine,Data Engineering,Retail,decommissioned,eu-west,windows,active
ASSET-000185,billing-engine-dev-0185.internal,dev,billing-engine,Payments Team,Finance,active,ap-southeast,linux,provisioning
ASSET-000186,auth-service-prod-0186.internal,prod,auth-service,Security Team,Platform,active,us-east,windows,active
ASSET-000187,payment-gateway-dev-0187.internal,dev,payment-gateway,Payments Team,Finance,active,eu-west,linux,deprecated
ASSET-000188,notification-service-qa-0188.internal,qa,notification-service,Platform Engineering,Platform,active,ap-southeast,linux,active
ASSET-000189,shipping-tracker-prod-0189.internal,prod,shipping-tracker,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000190,customer-portal-qa-0190.internal,qa,customer-portal,Customer Experience Team,Retail,decommissioned,eu-west,linux,active
ASSET-000191,recommendation-engine-staging-0191.internal,staging,recommendation-engine,Data Engineering,Retail,active,us-east,linux,active
ASSET-000192,search-service-staging-0192.internal,staging,search-service,Platform Engineering,Retail,active,ap-southeast,linux,active
ASSET-000193,search-service-dev-0193.internal,dev,search-service,Platform Engineering,Retail,maintenance,ap-southeast,linux,active
ASSET-000194,notification-service-staging-0194.internal,staging,notification-service,Platform Engineering,Platform,active,eu-west,linux,active
ASSET-000195,api-gateway-prod-0195.internal,prod,api-gateway,SRE Team,Platform,active,ap-southeast,linux,provisioning
ASSET-000196,inventory-service-prod-0196.internal,prod,inventory-service,Logistics Team,Logistics,maintenance,eu-west,windows,active
ASSET-000197,notification-service-qa-0197.internal,qa,notification-service,Platform Engineering,Platform,active,eu-west,linux,active
ASSET-000198,inventory-service-dev-0198.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000199,notification-service-prod-0199.internal,prod,notification-service,Platform Engineering,Platform,active,us-east,linux,active
ASSET-000200,api-gateway-qa-0200.internal,qa,api-gateway,SRE Team,Platform,active,us-east,windows,active
ASSET-000201,notification-service-dev-0201.internal,dev,notification-service,Platform Engineering,Platform,active,us-east,linux,active
ASSET-000202,reporting-dashboard-dev-0202.internal,dev,reporting-dashboard,Data Engineering,Platform,active,eu-west,linux,active
ASSET-000203,billing-engine-dev-0203.internal,dev,billing-engine,Payments Team,Finance,decommissioned,us-east,windows,provisioning
ASSET-000204,recommendation-engine-qa-0204.internal,qa,recommendation-engine,Data Engineering,Retail,active,us-west,windows,active
ASSET-000205,auth-service-dev-0205.internal,dev,auth-service,Security Team,Platform,active,us-west,linux,active
ASSET-000206,shipping-tracker-dev-0206.internal,dev,shipping-tracker,Logistics Team,Logistics,active,eu-west,windows,active
ASSET-000207,warehouse-management-dev-0207.internal,dev,warehouse-management,Logistics Team,Logistics,active,eu-west,macos,active
ASSET-000208,api-gateway-prod-0208.internal,prod,api-gateway,SRE Team,Platform,active,us-east,linux,active
ASSET-000209,shipping-tracker-dev-0209.internal,dev,shipping-tracker,Logistics Team,Logistics,active,eu-west,linux,active
ASSET-000210,warehouse-management-dev-0210.internal,dev,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000211,shipping-tracker-qa-0211.internal,qa,shipping-tracker,Logistics Team,Logistics,active,us-east,windows,active
ASSET-000212,recommendation-engine-dev-0212.internal,dev,recommendation-engine,Data Engineering,Retail,active,eu-west,linux,active
ASSET-000213,warehouse-management-prod-0213.internal,prod,warehouse-management,Logistics Team,Logistics,active,us-west,linux,active
ASSET-000214,auth-service-prod-0214.internal,prod,auth-service,Security Team,Platform,active,us-west,windows,retired
ASSET-000215,warehouse-management-qa-0215.internal,qa,warehouse-management,Logistics Team,Logistics,active,ap-southeast,windows,active
ASSET-000216,customer-portal-qa-0216.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-east,linux,active
ASSET-000217,inventory-service-qa-0217.internal,qa,inventory-service,Logistics Team,Logistics,active,ap-southeast,macos,retired
ASSET-000218,inventory-service-dev-0218.internal,dev,inventory-service,Logistics Team,Logistics,active,us-west,windows,active
ASSET-000219,auth-service-dev-0219.internal,dev,auth-service,Security Team,Platform,active,ap-southeast,windows,active
ASSET-000220,reporting-dashboard-dev-0220.internal,dev,reporting-dashboard,Data Engineering,Platform,active,ap-southeast,windows,active
ASSET-000221,inventory-service-dev-0221.internal,dev,inventory-service,Logistics Team,Logistics,active,ap-southeast,linux,active
ASSET-000222,auth-service-qa-0222.internal,qa,auth-service,Security Team,Platform,active,us-east,windows,provisioning
ASSET-000223,recommendation-engine-dev-0223.internal,dev,recommendation-engine,Data Engineering,Retail,decommissioned,ap-southeast,linux,active
ASSET-000224,shipping-tracker-dev-0224.internal,dev,shipping-tracker,Logistics Team,Logistics,active,us-west,windows,active
ASSET-000225,recommendation-engine-qa-0225.internal,qa,recommendation-engine,Data Engineering,Retail,active,ap-southeast,windows,active
ASSET-000226,customer-portal-qa-0226.internal,qa,customer-portal,Customer Experience Team,Retail,active,ap-southeast,windows,deprecated
ASSET-000227,fraud-detection-dev-0227.internal,dev,fraud-detection,Security Team,Finance,active,eu-west,windows,provisioning
ASSET-000228,analytics-pipeline-dev-0228.internal,dev,analytics-pipeline,Data Engineering,Platform,active,ap-southeast,windows,retired
ASSET-000229,analytics-pipeline-dev-0229.internal,dev,analytics-pipeline,Data Engineering,Platform,active,eu-west,linux,active
ASSET-000230,payment-gateway-dev-0230.internal,dev,payment-gateway,Payments Team,Finance,active,us-east,linux,active
ASSET-000231,auth-service-prod-0231.internal,prod,auth-service,Security Team,Platform,maintenance,ap-southeast,linux,active
ASSET-000232,fraud-detection-prod-0232.internal,prod,fraud-detection,Security Team,Finance,active,eu-west,windows,active
ASSET-000233,order-service-qa-0233.internal,qa,order-service,Platform Engineering,Retail,active,us-east,linux,deprecated
ASSET-000234,warehouse-management-qa-0234.internal,qa,warehouse-management,Logistics Team,Logistics,active,us-east,linux,active
ASSET-000235,billing-engine-staging-0235.internal,staging,billing-engine,Payments Team,Finance,decommissioned,eu-west,linux,active
ASSET-000236,recommendation-engine-staging-0236.internal,staging,recommendation-engine,Data Engineering,Retail,active,ap-southeast,linux,retired
ASSET-000237,search-service-dev-0237.internal,dev,search-service,Platform Engineering,Retail,decommissioned,eu-west,linux,active
ASSET-000238,auth-service-dev-0238.internal,dev,auth-service,Security Team,Platform,decommissioned,us-west,macos,retired
ASSET-000239,customer-portal-qa-0239.internal,qa,customer-portal,Customer Experience Team,Retail,active,us-west,windows,active
ASSET-000240,search-service-qa-0240.internal,qa,search-service,Platform Engineering,Retail,active,us-west,linux,active
ASSET-000241,payment-gateway-dev-0241.internal,dev,payment-gateway,Payments Team,Finance,active,us-west,windows,active
ASSET-000242,analytics-pipeline-dev-0242.internal,dev,analytics-pipeline,Data Engineering,Platform,active,us-west,linux,active
ASSET-000243,inventory-service-dev-0243.internal,dev,inventory-service,Logistics Team,Logistics,active,us-east,linux,provisioning
