incident_id,service,severity,status,opened_at,resolved_at,summary,root_cause
INC-000029,shipping-tracker,SEV3,resolved,2025-04-25 05:13:31,2025-04-25 10:11:57.205848628,Incident on shipping-tracker triggered by network partition between regions.,A credential rotation job failed silently.
INC-000030,inventory-service,SEV3,open,2024-04-08 11:25:38,,Incident on inventory-service triggered by network partition between regions.,
INC-000031,inventory-service,SEV4,open,2024-03-16 19:19:13,,Incident on inventory-service triggered by a misconfigured deployment.,
INC-000032,analytics-pipeline,SEV1,resolved,2024-02-06 13:12:16,2024-02-06 16:43:20.343577432,Incident on analytics-pipeline triggered by database connection pool exhaustion.,An upstream dependency exceeded its SLA during a regional failover.
INC-000033,inventory-service,SEV3,resolved,2024-02-03 16:52:07,2024-02-04 00:08:31.375997554,Incident on inventory-service triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000034,customer-portal,SEV4,resolved,2024-01-15 12:16:37,2024-01-15 18:49:34.460693368,Incident on customer-portal triggered by database connection pool exhaustion.,Capacity was not scaled ahead of a known traffic event.
INC-000035,order-service,SEV4,resolved,2024-10-12 09:06:32,2024-10-12 13:31:06.063853124,Incident on order-service triggered by a downstream dependency timeout.,An upstream dependency exceeded its SLA during a regional failover.
INC-000036,warehouse-management,SEV3,resolved,2024-10-10 23:39:59,2024-10-11 00:38:09.613557854,Incident on warehouse-management triggered by elevated traffic beyond provisioned capacity.,A configuration change was deployed without a canary rollout.
INC-000037,analytics-pipeline,SEV4,resolved,2025-10-06 14:03:21,2025-10-06 18:05:45.513800658,Incident on analytics-pipeline triggered by network partition between regions.,A credential rotation job failed silently.
INC-000038,search-service,SEV4,resolved,2025-07-21 09:15:40,2025-07-21 14:48:31.508298508,Incident on search-service triggered by an expired credential.,A credential rotation job failed silently.
INC-000039,fraud-detection,SEV4,resolved,2024-01-26 12:41:16,2024-01-26 22:16:16.918510600,Incident on fraud-detection triggered by database connection pool exhaustion.,A configuration change was deployed without a canary rollout.
INC-000040,order-service,SEV3,resolved,2025-07-07 22:37:44,2025-07-08 03:07:34.542009626,Incident on order-service triggered by a downstream dependency timeout.,A memory leak introduced in the previous release caused gradual degradation.
INC-000041,notification-service,SEV3,resolved,2025-02-28 21:39:36,2025-03-01 06:26:52.350636126,Incident on notification-service triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000042,notification-service,SEV4,resolved,2025-09-09 20:43:37,2025-09-10 05:56:46.031608840,Incident on notification-service triggered by an unhandled exception in a new code path.,An upstream dependency exceeded its SLA during a regional failover.
INC-000043,search-service,SEV3,mitigated,2025-12-10 11:13:48,2025-12-10 15:25:26.616857490,Incident on search-service triggered by an unhandled exception in a new code path.,A memory leak introduced in the previous release caused gradual degradation.
INC-000044,warehouse-management,SEV1,open,2025-01-17 02:06:55,,Incident on warehouse-management triggered by a memory leak in a recent release.,
INC-000045,warehouse-management,SEV4,resolved,2024-09-04 16:11:55,2024-09-05 02:08:20.087888104,Incident on warehouse-management triggered by database connection pool exhaustion.,A memory leak introduced in the previous release caused gradual degradation.
INC-000046,order-service,SEV2,resolved,2025-05-10 15:13:24,2025-05-10 23:37:39.864563891,Incident on order-service triggered by database connection pool exhaustion.,Capacity was not scaled ahead of a known traffic event.
INC-000047,recommendation-engine,SEV3,resolved,2025-12-19 17:01:41,2025-12-19 21:02:44.491344842,Incident on recommendation-engine triggered by a memory leak in a recent release.,Capacity was not scaled ahead of a known traffic event.
INC-000048,warehouse-management,SEV2,resolved,2024-05-04 12:00:20,2024-05-04 13:41:54.085673774,Incident on warehouse-management triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000049,shipping-tracker,SEV4,resolved,2024-08-24 21:27:34,2024-08-25 01:24:21.397481494,Incident on shipping-tracker triggered by an unhandled exception in a new code path.,A credential rotation job failed silently.
INC-000050,warehouse-management,SEV3,resolved,2024-11-30 18:53:29,2024-11-30 23:39:24.257864642,Incident on warehouse-management triggered by an expired credential.,A credential rotation job failed silently.
INC-000051,analytics-pipeline,SEV3,mitigated,2024-06-12 01:35:21,2024-06-12 08:45:25.267725984,Incident on analytics-pipeline triggered by an expired credential.,An upstream dependency exceeded its SLA during a regional failover.
INC-000052,analytics-pipeline,SEV2,resolved,2025-04-01 03:50:58,2025-04-01 13:05:18.648741346,Incident on analytics-pipeline triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000053,order-service,SEV3,resolved,2025-09-23 13:33:17,2025-09-23 16:45:34.693533788,Incident on order-service triggered by an unhandled exception in a new code path.,A configuration change was deployed without a canary rollout.
INC-000054,api-gateway,SEV3,mitigated,2025-02-05 03:51:41,2025-02-05 04:35:04.769356970,Incident on api-gateway triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000055,search-service,SEV4,resolved,2024-03-17 06:38:55,2024-03-17 14:18:59.671960102,Incident on search-service triggered by network partition between regions.,Insufficient connection pool sizing for peak load.
INC-000056,reporting-dashboard,SEV3,resolved,2024-04-23 20:55:08,2024-04-23 21:36:46.539841502,Incident on reporting-dashboard triggered by elevated traffic beyond provisioned capacity.,Insufficient connection pool sizing for peak load.
INC-000057,api-gateway,SEV4,resolved,2025-05-19 09:29:10,2025-05-19 10:22:43.616468164,Incident on api-gateway triggered by a downstream dependency timeout.,Capacity was not scaled ahead of a known traffic event.
INC-000058,api-gateway,SEV4,resolved,2025-09-24 16:51:42,2025-09-24 20:20:52.010775624,Incident on api-gateway triggered by elevated traffic beyond provisioned capacity.,A memory leak introduced in the previous release caused gradual degradation.
INC-000059,api-gateway,SEV4,mitigated,2025-05-19 14:08:10,2025-05-19 17:38:04.310876500,Incident on api-gateway triggered by a downstream dependency timeout.,An upstream dependency exceeded its SLA during a regional failover.
INC-000060,fraud-detection,SEV4,resolved,2024-12-18 09:36:26,2024-12-18 15:13:14.005773110,Incident on fraud-detection triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000061,search-service,SEV4,mitigated,2025-11-20 03:51:37,2025-11-20 05:58:14.362322506,Incident on search-service triggered by an expired credential.,A configuration change was deployed without a canary rollout.
INC-000062,customer-portal,SEV2,resolved,2025-10-27 22:46:40,2025-10-28 05:26:29.650925878,Incident on customer-portal triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000063,recommendation-engine,SEV3,mitigated,2024-12-14 11:12:13,2024-12-14 19:19:22.849290472,Incident on recommendation-engine triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000064,order-service,SEV4,resolved,2025-04-04 10:13:10,2025-04-04 18:23:13.887984184,Incident on order-service triggered by network partition between regions.,Capacity was not scaled ahead of a known traffic event.
INC-000065,payment-gateway,SEV3,resolved,2025-08-18 07:55:57,2025-08-18 16:40:54.393966852,Incident on payment-gateway triggered by elevated traffic beyond provisioned capacity.,Insufficient connection pool sizing for peak load.
INC-000066,analytics-pipeline,SEV3,mitigated,2025-01-02 19:41:24,2025-01-03 00:43:45.375300174,Incident on analytics-pipeline triggered by database connection pool exhaustion.,Capacity was not scaled ahead of a known traffic event.
INC-000067,recommendation-engine,SEV2,resolved,2024-05-05 09:22:51,2024-05-05 14:49:30.623672118,Incident on recommendation-engine triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000068,inventory-service,SEV2,resolved,2024-12-04 10:01:43,2024-12-04 12:10:04.466190826,Incident on inventory-service triggered by a memory leak in a recent release.,Insufficient connection pool sizing for peak load.
INC-000069,auth-service,SEV2,resolved,2025-09-02 00:20:38,2025-09-02 03:41:34.897855142,Incident on auth-service triggered by an unhandled exception in a new code path.,A memory leak introduced in the previous release caused gradual degradation.
INC-000070,order-service,SEV4,resolved,2024-10-07 15:03:37,2024-10-07 18:31:10.467645214,Incident on order-service triggered by an expired credential.,An upstream dependency exceeded its SLA during a regional failover.
INC-000071,payment-gateway,SEV4,resolved,2025-09-15 01:48:57,2025-09-15 10:59:04.749207198,Incident on payment-gateway triggered by database connection pool exhaustion.,A credential rotation job failed silently.
INC-000072,api-gateway,SEV4,resolved,2025-08-24 18:42:48,2025-08-24 22:44:52.156423704,Incident on api-gateway triggered by a downstream dependency timeout.,A credential rotation job failed silently.
INC-000073,notification-service,SEV3,resolved,2025-08-04 21:39:40,2025-08-05 03:58:34.734265864,Incident on notification-service triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000074,fraud-detection,SEV4,resolved,2025-04-02 04:04:45,2025-04-02 09:05:00.787208688,Incident on fraud-detection triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000075,reporting-dashboard,SEV3,resolved,2024-06-17 21:19:55,2024-06-18 05:04:34.407675376,Incident on reporting-dashboard triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000076,notification-service,SEV3,resolved,2025-08-02 09:37:22,2025-08-02 10:13:16.982846956,Incident on notification-service triggered by elevated traffic beyond provisioned capacity.,A configuration change was deployed without a canary rollout.
INC-000077,analytics-pipeline,SEV4,resolved,2025-08-31 17:03:17,2025-08-31 17:27:50.113346390,Incident on analytics-pipeline triggered by an expired credential.,A memory leak introduced in the previous release caused gradual degradation.
INC-000078,customer-portal,SEV3,resolved,2025-04-22 10:11:55,2025-04-22 16:58:29.173733782,Incident on customer-portal triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000079,order-service,SEV4,open,2024-03-11 01:33:59,,Incident on order-service triggered by database connection pool exhaustion.,
INC-000080,inventory-service,SEV3,resolved,2024-05-24 21:12:53,2024-05-25 02:33:20.759138888,Incident on inventory-service triggered by network partition between regions.,Capacity was not scaled ahead of a known traffic event.
INC-000081,customer-portal,SEV2,open,2025-11-20 14:54:28,,Incident on customer-portal triggered by a downstream dependency timeout.,
INC-000082,inventory-service,SEV2,resolved,2024-02-24 11:04:00,2024-02-24 12:22:08.763293724,Incident on inventory-service triggered by a downstream dependency timeout.,A memory leak introduced in the previous release caused gradual degradation.
INC-000083,customer-portal,SEV2,resolved,2024-12-26 23:39:08,2024-12-27 05:53:27.760206878,Incident on customer-portal triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000084,api-gateway,SEV4,mitigated,2024-03-18 07:59:22,2024-03-18 09:16:39.131268688,Incident on api-gateway triggered by an unhandled exception in a new code path.,A memory leak introduced in the previous release caused gradual degradation.
INC-000085,recommendation-engine,SEV4,open,2024-09-26 19:40:42,,Incident on recommendation-engine triggered by database connection pool exhaustion.,
INC-000086,order-service,SEV4,open,2024-12-02 18:41:28,,Incident on order-service triggered by an expired credential.,
INC-000087,notification-service,SEV4,resolved,2024-10-06 11:22:14,2024-10-06 16:34:02.095156016,Incident on notification-service triggered by elevated traffic beyond provisioned capacity.,An upstream dependency exceeded its SLA during a regional failover.
INC-000088,api-gateway,SEV3,resolved,2025-04-05 03:16:33,2025-04-05 07:15:11.608672752,Incident on api-gateway triggered by network partition between regions.,Capacity was not scaled ahead of a known traffic event.
INC-000089,recommendation-engine,SEV4,resolved,2025-12-24 14:25:04,2025-12-24 20:37:59.989375900,Incident on recommendation-engine triggered by a memory leak in a recent release.,A configuration change was deployed without a canary rollout.
INC-000090,order-service,SEV3,mitigated,2025-04-21 22:26:59,2025-04-22 02:59:09.772204016,Incident on order-service triggered by database connection pool exhaustion.,Insufficient connection pool sizing for peak load.
INC-000091,search-service,SEV4,resolved,2024-05-21 12:27:07,2024-05-21 18:11:45.011783728,Incident on search-service triggered by network partition between regions.,An upstream dependency exceeded its SLA during a regional failover.
INC-000092,api-gateway,SEV2,resolved,2024-06-11 18:18:09,2024-06-12 01:14:29.817146892,Incident on api-gateway triggered by a memory leak in a recent release.,A configuration change was deployed without a canary rollout.
INC-000093,customer-portal,SEV3,resolved,2024-01-15 05:54:40,2024-01-15 09:31:10.824622911,Incident on customer-portal triggered by a downstream dependency timeout.,Capacity was not scaled ahead of a known traffic event.
INC-000094,order-service,SEV4,resolved,2024-04-08 12:06:55,2024-04-08 13:57:57.258790414,Incident on order-service triggered by database connection pool exhaustion.,An upstream dependency exceeded its SLA during a regional failover.
INC-000095,api-gateway,SEV1,resolved,2025-03-11 04:18:28,2025-03-11 08:59:18.222795364,Incident on api-gateway triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000096,search-service,SEV4,mitigated,2025-05-30 12:47:43,2025-05-30 20:13:36.854655538,Incident on search-service triggered by database connection pool exhaustion.,Insufficient connection pool sizing for peak load.
INC-000097,billing-engine,SEV4,resolved,2025-05-23 00:49:21,2025-05-23 04:40:18.148565868,Incident on billing-engine triggered by an expired credential.,A credential rotation job failed silently.
INC-000098,customer-portal,SEV4,open,2024-02-23 12:10:52,,Incident on customer-portal triggered by an unhandled exception in a new code path.,
INC-000099,fraud-detection,SEV4,resolved,2024-08-29 06:33:01,2024-08-29 07:39:34.992872374,Incident on fraud-detection triggered by an expired credential.,Insufficient connection pool sizing for peak load.
INC-000100,api-gateway,SEV2,resolved,2024-10-15 14:40:29,2024-10-15 20:43:29.393538098,Incident on api-gateway triggered by an unhandled exception in a new code path.,An upstream dependency exceeded its SLA during a regional failover.
INC-000101,auth-service,SEV3,resolved,2025-03-24 14:07:43,2025-03-24 19:58:56.437423324,Incident on auth-service triggered by an unhandled exception in a new code path.,A configuration change was deployed without a canary rollout.
INC-000102,customer-portal,SEV2,mitigated,2024-08-25 21:27:48,2024-08-26 05:35:39.997083942,Incident on customer-portal triggered by an unhandled exception in a new code path.,Capacity was not scaled ahead of a known traffic event.
INC-000103,billing-engine,SEV4,resolved,2025-01-20 04:55:54,2025-01-20 11:00:56.382329058,Incident on billing-engine triggered by a misconfigured deployment.,Insufficient connection pool sizing for peak load.
INC-000104,inventory-service,SEV4,resolved,2025-08-23 07:55:05,2025-08-23 08:31:54.074449868,Incident on inventory-service triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000105,payment-gateway,SEV3,resolved,2024-02-28 21:05:01,2024-02-29 00:30:23.867073628,Incident on payment-gateway triggered by an unhandled exception in a new code path.,Insufficient connection pool sizing for peak load.
INC-000106,payment-gateway,SEV3,resolved,2024-03-08 04:45:21,2024-03-08 05:15:13.140699012,Incident on payment-gateway triggered by a memory leak in a recent release.,An upstream dependency exceeded its SLA during a regional failover.
INC-000107,shipping-tracker,SEV4,resolved,2024-06-19 04:53:13,2024-06-19 05:11:15.584898136,Incident on shipping-tracker triggered by a downstream dependency timeout.,A credential rotation job failed silently.
INC-000108,auth-service,SEV3,open,2025-01-02 20:32:44,,Incident on auth-service triggered by elevated traffic beyond provisioned capacity.,
INC-000109,payment-gateway,SEV1,resolved,2025-04-09 18:07:45,2025-04-09 19:08:34.192649574,Incident on payment-gateway triggered by a memory leak in a recent release.,A configuration change was deployed without a canary rollout.
INC-000110,analytics-pipeline,SEV2,mitigated,2024-08-16 10:37:21,2024-08-16 19:58:33.762457404,Incident on analytics-pipeline triggered by network partition between regions.,Insufficient connection pool sizing for peak load.
INC-000111,analytics-pipeline,SEV4,mitigated,2025-03-17 19:17:59,2025-03-17 21:05:42.935092880,Incident on analytics-pipeline triggered by an unhandled exception in a new code path.,A credential rotation job failed silently.
INC-000112,search-service,SEV3,resolved,2025-02-07 02:12:44,2025-02-07 10:11:40.107716504,Incident on search-service triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000113,fraud-detection,SEV3,resolved,2024-05-20 02:29:33,2024-05-20 05:59:27.321743808,Incident on fraud-detection triggered by an expired credential.,An upstream dependency exceeded its SLA during a regional failover.
INC-000114,inventory-service,SEV4,open,2024-07-31 01:14:11,,Incident on inventory-service triggered by a misconfigured deployment.,
INC-000115,shipping-tracker,SEV2,mitigated,2024-05-12 23:52:57,2024-05-13 09:45:23.731105680,Incident on shipping-tracker triggered by elevated traffic beyond provisioned capacity.,A memory leak introduced in the previous release caused gradual degradation.
INC-000116,order-service,SEV3,resolved,2024-06-13 09:48:28,2024-06-13 11:01:26.432940268,Incident on order-service triggered by a downstream dependency timeout.,An upstream dependency exceeded its SLA during a regional failover.
INC-000117,recommendation-engine,SEV4,resolved,2025-10-31 16:43:07,2025-10-31 21:23:11.467325074,Incident on recommendation-engine triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000118,search-service,SEV4,resolved,2025-06-06 10:19:54,2025-06-06 17:18:38.633027898,Incident on search-service triggered by a downstream dependency timeout.,A memory leak introduced in the previous release caused gradual degradation.
INC-000119,payment-gateway,SEV4,mitigated,2024-07-11 14:34:26,2024-07-11 22:46:03.305331902,Incident on payment-gateway triggered by a misconfigured deployment.,A memory leak introduced in the previous release caused gradual degradation.
INC-000120,reporting-dashboard,SEV4,resolved,2025-08-26 21:41:10,2025-08-26 23:40:44.245011819,Incident on reporting-dashboard triggered by an expired credential.,A configuration change was deployed without a canary rollout.
INC-000121,api-gateway,SEV2,resolved,2024-01-25 21:47:36,2024-01-26 05:31:31.257705636,Incident on api-gateway triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000122,search-service,SEV4,resolved,2024-03-21 20:17:36,2024-03-21 21:08:42.362120100,Incident on search-service triggered by a misconfigured deployment.,Capacity was not scaled ahead of a known traffic event.
INC-000123,inventory-service,SEV4,open,2024-03-11 08:33:56,,Incident on inventory-service triggered by a misconfigured deployment.,
INC-000124,customer-portal,SEV1,resolved,2025-10-10 10:16:18,2025-10-10 17:34:25.698685416,Incident on customer-portal triggered by a downstream dependency timeout.,Insufficient connection pool sizing for peak load.
INC-000125,auth-service,SEV4,mitigated,2025-06-23 08:55:40,2025-06-23 14:00:41.986912144,Incident on auth-service triggered by network partition between regions.,A credential rotation job failed silently.
INC-000126,auth-service,SEV3,resolved,2024-12-20 15:36:10,2024-12-20 23:01:00.093106360,Incident on auth-service triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000127,auth-service,SEV4,resolved,2025-08-16 06:30:31,2025-08-16 15:42:54.683526436,Incident on auth-service triggered by database connection pool exhaustion.,A credential rotation job failed silently.
INC-000128,analytics-pipeline,SEV3,resolved,2024-01-19 09:22:36,2024-01-19 18:26:16.962419610,Incident on analytics-pipeline triggered by elevated traffic beyond provisioned capacity.,A configuration change was deployed without a canary rollout.
INC-000129,customer-portal,SEV2,mitigated,2025-05-25 07:39:25,2025-05-25 09:46:40.107505168,Incident on customer-portal triggered by database connection pool exhaustion.,Insufficient connection pool sizing for peak load.
INC-000130,fraud-detection,SEV2,resolved,2024-08-04 18:23:52,2024-08-05 01:32:57.909360562,Incident on fraud-detection triggered by an unhandled exception in a new code path.,An upstream dependency exceeded its SLA during a regional failover.
INC-000131,warehouse-management,SEV4,resolved,2025-09-02 08:37:04,2025-09-02 13:23:39.809875720,Incident on warehouse-management triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000132,payment-gateway,SEV4,resolved,2024-02-28 18:35:55,2024-02-29 00:57:41.379512410,Incident on payment-gateway triggered by database connection pool exhaustion.,Capacity was not scaled ahead of a known traffic event.
INC-000133,reporting-dashboard,SEV4,resolved,2024-09-27 18:17:50,2024-09-27 20:31:56.499042962,Incident on reporting-dashboard triggered by elevated traffic beyond provisioned capacity.,A credential rotation job failed silently.
INC-000134,order-service,SEV3,resolved,2025-04-18 17:52:59,2025-04-19 02:02:33.735119048,Incident on order-service triggered by a memory leak in a recent release.,A credential rotation job failed silently.
INC-000135,search-service,SEV4,resolved,2024-04-27 01:20:28,2024-04-27 04:49:20.658282634,Incident on search-service triggered by an expired credential.,A memory leak introduced in the previous release caused gradual degradation.
INC-000136,shipping-tracker,SEV3,resolved,2025-02-10 06:15:51,2025-02-10 07:44:21.260352744,Incident on shipping-tracker triggered by network partition between regions.,A memory leak introduced in the previous release caused gradual degradation.
INC-000137,shipping-tracker,SEV2,resolved,2025-09-10 02:06:59,2025-09-10 09:18:44.351219678,Incident on shipping-tracker triggered by elevated traffic beyond provisioned capacity.,A memory leak introduced in the previous release caused gradual degradation.
INC-000138,search-service,SEV3,resolved,2024-12-11 23:54:38,2024-12-12 09:17:37.834549562,Incident on search-service triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000139,recommendation-engine,SEV4,resolved,2024-01-10 05:17:34,2024-01-10 13:04:11.087894824,Incident on recommendation-engine triggered by elevated traffic beyond provisioned capacity.,A memory leak introduced in the previous release caused gradual degradation.
INC-000140,notification-service,SEV3,resolved,2025-10-14 20:42:38,2025-10-15 01:22:20.229961604,Incident on notification-service triggered by an unhandled exception in a new code path.,A credential rotation job failed silently.
INC-000141,auth-service,SEV1,resolved,2025-12-29 13:10:06,2025-12-29 21:20:03.533799552,Incident on auth-service triggered by a misconfigured deployment.,A configuration change was deployed without a canary rollout.
INC-000142,api-gateway,SEV4,resolved,2025-02-05 19:15:41,2025-02-05 22:51:43.294307378,Incident on api-gateway triggered by a memory leak in a recent release.,A credential rotation job failed silently.
INC-000143,warehouse-management,SEV4,mitigated,2025-07-07 06:12:29,2025-07-07 06:56:19.232955914,Incident on warehouse-management triggered by elevated traffic beyond provisioned capacity.,An upstream dependency exceeded its SLA during a regional failover.
INC-000144,notification-service,SEV4,mitigated,2025-06-10 08:45:29,2025-06-10 11:45:03.488142506,Incident on notification-service triggered by database connection pool exhaustion.,Capacity was not scaled ahead of a known traffic event.
INC-000145,search-service,SEV4,mitigated,2024-10-04 14:55:31,2024-10-04 17:40:32.999857234,Incident on search-service triggered by elevated traffic beyond provisioned capacity.,Capacity was not scaled ahead of a known traffic event.
INC-000146,shipping-tracker,SEV1,resolved,2024-06-11 16:40:33,2024-06-11 20:58:33.161900736,Incident on shipping-tracker triggered by network partition between regions.,Capacity was not scaled ahead of a known traffic event.
INC-000147,api-gateway,SEV2,mitigated,2025-03-30 19:42:19,2025-03-30 22:01:00.820776466,Incident on api-gateway triggered by database connection pool exhaustion.,A configuration change was deployed without a canary rollout.
INC-000148,shipping-tracker,SEV4,resolved,2024-07-06 12:06:34,2024-07-06 14:13:02.694279058,Incident on shipping-tracker triggered by a memory leak in a recent release.,Insufficient connection pool sizing for peak load.
INC-000149,customer-portal,SEV4,resolved,2025-01-30 18:53:40,2025-01-31 00:31:56.863913890,Incident on customer-portal triggered by an expired credential.,An upstream dependency exceeded its SLA during a regional failover.
INC-000150,recommendation-engine,SEV3,mitigated,2024-04-15 20:09:15,2024-04-15 23:05:22.304821608,Incident on recommendation-engine triggered by an expired credential.,A memory leak introduced in the previous release caused gradual degradation.
